Find,Replace
\bsei's\b,sei is
\bseis\b,sei is
\bapparel\b,dress
\battire\b,dress
\bcostume\b,dress
\bskirt\b,dress
\bgown\b,dress
\bwear\b,dress
\bclothes\b,dress
\bpolo\b,shirt
\bpullover\b,shirt
\bturtleneck\b,shirt
\bcostume\b,suit
\buniform\b,suit
\btuxedo\b,suit
\bformals\b,suit
\bcoat\b,jacket
\bjacket\b,jacket
\bblazer\b,jacket
\bhoodies\b,jacket
\bfashion\b,style
\bdesign\b,style
\bexpression\b,style
\btrend\b,style
\bmanner\b,style
\bway\b,style
\bcomfort\b,style
\bformals\b,style
\binformals\b,style
\bpants\b,jeans
\bshorts\b,jeans
\baccommodation\b,housing
\bliving\b,housing
\bdwellings\b,housing
\bapartments\b,housing
\bresidences\b,housing
\bhomes\b,housing
\bbuildings\b,housing
\bstay\b,housing
\blodgement\b,housing
\blodge\b,housing
\bquarters\b,housing
\bhostel\b,housing
\blocate\b,location
\bplace\b,housing
\blocality\b,location
\boccupation\b,jobs
\bwork\b,jobs
\bcareer\b,jobs
\bprofession\b,jobs
\btask\b,jobs
\bassignment\b,jobs
\bproject\b,jobs
\bresponsibility\b,jobs
\bduty\b,jobs
\btask\b,jobs
\broles\b,jobs
\bposition\b,jobs
\bmajors\b,specialisation
\bsponsor\b,finance
\bexpenditure\b,cost
spending,cost
expenses,cost
\bamount\b,money
\breimburse\b,repay
compensate,repay
 refund,repay
remunarate,repay
\bpaid\b,salary
\bstipend\b,salary
\bwage\b,salary
\bincome\b,salary
\bremuneration\b,salary
\bpayment\b,salary
\bcompensation\b,salary
\bapply\b,application
\bquery\b,questions
\binquiry\b,questions
\bdoubt\b,questions
\bissue\b,questions
\bproblem\b,questions
\bconcern\b,questions
\bask\b,questions
\btrainee\b,intern
\bstudent\b,intern
\bworker\b,employee
\bstaff\b,employee
\baction\b,process
\bprocedure\b,process
\bactivity\b,process
\btask\b,process
\bmethod\b,process
\bspecifics\b,process
\bbreak\b,vacation
\btime off\b,vacation
\bleave\b,vacation
\babsence\b,vacation
\bday off\b,vacation
\bhello\b,greetings
\bhi\b,greetings
\bsaluation\b,greetings
\bhey\b,greetings
\byo\b,greetings
\bgood morning\b,greetings
\bgood afternoon\b,greetings
\bgood evening\b,greetings
\bmeeting\b,interview
\bdiscussion\b,interview
\btelephonic\b,interview
\bfacility\b,amenity
\bservice\b,amenity
\bresource\b,amenity
\bfeature\b,amenity
\bgym\b,amenity
\bon site\b,amenity
\bshop\b,amenity
\bcommute\b,travel
\btransport\b,travel
\bqualified\b,eligible
\bsuitable\b,eligible
\bqualify\b,fit
\b suitable\b,fit
\breviewed \b, assess
\b check\b, assess
\b  department\b,division
\b unit\b,division
\bauthorization \b,approval
\bcontracts \b,obligation
\bbond \b,obligation
\bcommitment \b,obligation
\bconventional \b,regular
\b usual\b,regular
\b typical\b,regular
\b chosen\b,selected
